1	2
1	3
1	4
1	5
2	3
3	4
3	5
3	6
4	6
5	6
5	36
5	37
5	38
6	22
6	36
6	37
6	38
6	39
7	8
7	9
9	10
9	11
9	12
10	11
10	13
10	14
10	15
10	16
10	17
10	18
10	19
10	20
10	21
10	22
10	23
10	24
10	25
11	12
11	20
11	21
11	22
13	14
14	24
14	25
14	26
15	25
16	27
18	22
18	28
18	29
18	30
18	31
19	48
19	65
19	66
19	76
19	77
19	78
19	80
20	50
20	84
20	85
22	32
22	40
22	81
22	98
22	102
26	81
28	31
28	49
29	50
32	33
32	34
33	34
33	35
35	83
40	41
42	43
42	44
42	45
42	46
42	47
43	44
43	48
44	101
48	54
48	55
48	57
48	66
48	68
48	69
48	70
48	71
48	72
48	73
48	74
48	75
48	76
48	77
49	50
49	84
51	52
51	53
51	54
51	55
51	56
51	57
51	58
51	59
51	60
52	58
52	61
52	62
52	63
52	64
53	58
54	55
54	57
54	58
54	61
54	64
54	65
54	66
55	58
55	61
55	64
55	66
55	67
56	58
57	66
58	86
61	95
63	107
64	95
65	66
65	74
65	77
65	79
65	82
66	68
66	69
66	70
66	71
66	72
66	73
66	74
66	75
66	76
66	104
72	78
72	79
79	105
83	106
87	88
87	89
88	90
88	91
88	92
89	93
89	94
90	92
93	98
95	96
96	103
97	98
98	99
98	100
