1	2
1	139
2	90
2	109
3	4
3	22
3	41
3	49
3	59
3	84
3	96
3	119
3	127
3	128
3	134
3	141
3	151
5	6
5	23
5	40
5	56
5	57
5	58
5	59
5	89
5	97
5	98
7	8
7	21
8	19
8	61
8	90
9	10
9	11
9	92
9	93
9	144
11	14
11	91
12	13
13	53
13	55
13	62
13	64
14	15
14	16
14	17
14	18
14	20
14	21
14	38
14	40
14	48
14	49
14	54
14	66
14	70
14	74
14	75
14	76
14	78
14	83
14	112
14	146
15	19
16	19
16	32
18	19
18	32
18	61
19	20
19	21
19	40
19	70
19	78
19	83
20	32
20	39
20	52
20	53
20	72
20	143
21	32
21	39
23	28
23	55
23	138
24	25
24	114
24	145
26	27
26	33
26	34
26	50
26	51
26	76
26	85
26	86
26	105
26	154
26	155
26	157
26	158
27	109
28	29
28	87
28	88
28	89
28	106
28	107
28	108
28	130
28	131
28	132
28	133
30	31
30	43
30	68
30	69
30	81
30	82
30	102
30	103
30	111
30	116
30	123
30	160
32	40
32	45
32	77
32	83
32	113
33	71
34	71
35	36
35	37
35	117
35	118
38	39
39	40
39	70
39	76
39	146
39	156
40	46
42	43
42	44
42	83
42	102
42	120
42	121
42	123
42	126
42	142
46	47
46	129
46	150
52	152
53	54
53	64
53	88
53	104
53	135
53	137
53	159
55	60
55	67
55	136
55	145
61	116
61	142
62	63
62	65
70	79
72	73
72	152
79	80
90	94
90	95
90	104
90	112
90	114
90	134
90	149
91	92
91	93
92	148
93	148
99	100
99	101
99	117
99	118
106	138
108	138
109	110
109	161
113	153
114	115
114	118
114	125
114	140
114	147
116	122
117	124
118	124
122	123
122	142
124	125
143	152
